mode,channel_key,feature_index,feature_label,expectation,shots_or_weight,distribution,raw_distribution,readout_corrected,readout_raw_normalization,readout_raw_negativity,readout_simplex_projection_l1,readout_condition_number,readout_inverse_overhead_l1
ideal,q0-q1,63,"Z+,Y+->IX",-0.0078125,256.0,"{'00000': 127, '00010': 129}","{'00000': 127, '00010': 129}",False,,,,,
ideal,q0-q1,64,"Z+,Y+->ZX",-0.046875,256.0,"{'00010': 134, '00000': 122}","{'00010': 134, '00000': 122}",False,,,,,
ideal,q0-q1,65,"X+,Z+->YX",0.0078125,256.0,"{'00000': 79, '00001': 69, '00011': 50, '00010': 58}","{'00000': 79, '00001': 69, '00011': 50, '00010': 58}",False,,,,,
ideal,q0-q1,66,"Y+,Z+->XX",0.046875,256.0,"{'00000': 64, '00011': 70, '00001': 64, '00010': 58}","{'00000': 64, '00011': 70, '00001': 64, '00010': 58}",False,,,,,
ideal,q0-q1,67,"Z-,X+->ZY",0.0859375,256.0,"{'00011': 139, '00001': 117}","{'00011': 139, '00001': 117}",False,,,,,
ideal,q0-q1,68,"Z-,X+->IY",0.0,256.0,"{'00001': 128, '00011': 128}","{'00001': 128, '00011': 128}",False,,,,,
ideal,q0-q1,69,"Z-,Y+->ZX",-0.0390625,256.0,"{'00001': 133, '00011': 123}","{'00001': 133, '00011': 123}",False,,,,,
ideal,q0-q1,70,"Z-,Y+->IX",-0.0234375,256.0,"{'00011': 131, '00001': 125}","{'00011': 131, '00001': 125}",False,,,,,
ideal,q0-q1,71,"X+,X+->ZI",-0.015625,256.0,"{'00001': 62, '00010': 69, '00000': 57, '00011': 68}","{'00001': 62, '00010': 69, '00000': 57, '00011': 68}",False,,,,,
ideal,q0-q1,72,"Y+,X+->ZI",-0.0078125,256.0,"{'00000': 51, '00010': 76, '00001': 73, '00011': 56}","{'00000': 51, '00010': 76, '00001': 73, '00011': 56}",False,,,,,
ideal,q0-q1,73,"X+,Z-->ZI",-0.0234375,256.0,"{'00010': 125, '00001': 131}","{'00010': 125, '00001': 131}",False,,,,,
ideal,q0-q1,74,"X+,Y+->ZI",0.0859375,256.0,"{'00011': 66, '00010': 70, '00000': 69, '00001': 51}","{'00011': 66, '00010': 70, '00000': 69, '00001': 51}",False,,,,,
ideal,q0-q1,75,"Y+,Z-->ZI",0.015625,256.0,"{'00001': 126, '00010': 130}","{'00001': 126, '00010': 130}",False,,,,,
ideal,q0-q1,76,"Y+,Y+->ZI",-0.0234375,256.0,"{'00001': 76, '00011': 55, '00010': 59, '00000': 66}","{'00001': 76, '00011': 55, '00010': 59, '00000': 66}",False,,,,,
ideal,q0-q1,77,"X+,Z+->ZI",0.015625,256.0,"{'00000': 130, '00011': 126}","{'00000': 130, '00011': 126}",False,,,,,
ideal,q0-q1,78,"Y+,Z+->ZI",-0.046875,256.0,"{'00011': 134, '00000': 122}","{'00011': 134, '00000': 122}",False,,,,,
ideal,q0-q1,79,"Z+,X+->IZ",0.03125,256.0,"{'00000': 132, '00010': 124}","{'00000': 132, '00010': 124}",False,,,,,
ideal,q1-q2,0,"Z-,Y+->ZY",1.0,256.0,{'00110': 256},{'00110': 256},False,,,,,
ideal,q1-q2,1,"X+,X+->XI",1.0,256.0,"{'00000': 123, '00100': 133}","{'00000': 123, '00100': 133}",False,,,,,
ideal,q1-q2,2,"Z-,Z+->ZZ",1.0,256.0,{'00110': 256},{'00110': 256},False,,,,,
ideal,q1-q2,3,"X+,Z+->YY",-1.0,256.0,"{'00010': 117, '00100': 139}","{'00010': 117, '00100': 139}",False,,,,,
ideal,q1-q2,4,"X+,Y+->YZ",1.0,256.0,"{'00000': 122, '00110': 134}","{'00000': 122, '00110': 134}",False,,,,,
ideal,q1-q2,5,"Z-,Y+->ZI",-1.0,256.0,"{'00110': 140, '00010': 116}","{'00110': 140, '00010': 116}",False,,,,,
ideal,q1-q2,6,"X+,Z+->XY",0.03125,256.0,"{'00110': 70, '00000': 62, '00010': 60, '00100': 64}","{'00110': 70, '00000': 62, '00010': 60, '00100': 64}",False,,,,,
ideal,q1-q2,7,"X+,Z-->XY",-0.0859375,256.0,"{'00100': 60, '00010': 79, '00000': 52, '00110': 65}","{'00100': 60, '00010': 79, '00000': 52, '00110': 65}",False,,,,,
ideal,q1-q2,8,"Z+,Y+->IZ",0.1015625,256.0,"{'00100': 115, '00000': 141}","{'00100': 115, '00000': 141}",False,,,,,
ideal,q1-q2,9,"X+,X+->YZ",-0.125,256.0,"{'00000': 69, '00100': 67, '00110': 43, '00010': 77}","{'00000': 69, '00100': 67, '00110': 43, '00010': 77}",False,,,,,
ideal,q1-q2,10,"X+,Y+->ZY",1.0,256.0,"{'00000': 139, '00110': 117}","{'00000': 139, '00110': 117}",False,,,,,
ideal,q1-q2,11,"Y+,Y+->ZY",1.0,256.0,"{'00110': 123, '00000': 133}","{'00110': 123, '00000': 133}",False,,,,,
ideal,q1-q2,12,"X+,Z+->XX",1.0,256.0,"{'00000': 135, '00110': 121}","{'00000': 135, '00110': 121}",False,,,,,
ideal,q1-q2,13,"Y+,Z+->YX",1.0,256.0,"{'00110': 127, '00000': 129}","{'00110': 127, '00000': 129}",False,,,,,
ideal,q1-q2,14,"X+,Y+->XX",1.0,256.0,"{'00000': 117, '00110': 139}","{'00000': 117, '00110': 139}",False,,,,,
ideal,q1-q2,15,"Y+,Y+->YX",1.0,256.0,"{'00110': 138, '00000': 118}","{'00110': 138, '00000': 118}",False,,,,,
ideal,q1-q2,16,"X+,X+->XX",1.0,256.0,{'00000': 256},{'00000': 256},False,,,,,
ideal,q1-q2,17,"Y+,X+->YX",1.0,256.0,{'00000': 256},{'00000': 256},False,,,,,
ideal,q1-q2,18,"X+,Z-->XX",1.0,256.0,"{'00110': 136, '00000': 120}","{'00110': 136, '00000': 120}",False,,,,,
ideal,q1-q2,19,"Y+,Z-->YX",1.0,256.0,"{'00110': 112, '00000': 144}","{'00110': 112, '00000': 144}",False,,,,,
ideal,q1-q2,20,"Y+,X+->YI",1.0,256.0,"{'00100': 131, '00000': 125}","{'00100': 131, '00000': 125}",False,,,,,
ideal,q1-q2,21,"Z+,Y+->IY",1.0,256.0,{'00000': 256},{'00000': 256},False,,,,,
ideal,q1-q2,22,"Z+,Y+->ZY",1.0,256.0,{'00000': 256},{'00000': 256},False,,,,,
ideal,q1-q2,23,"Z-,Y+->IY",-1.0,256.0,{'00110': 256},{'00110': 256},False,,,,,
ideal,q1-q2,24,"Z-,X+->ZX",-1.0,256.0,{'00010': 256},{'00010': 256},False,,,,,
ideal,q1-q2,25,"Y+,Y+->XZ",-1.0,256.0,"{'00100': 135, '00010': 121}","{'00100': 135, '00010': 121}",False,,,,,
ideal,q1-q2,26,"Y+,Z+->XY",1.0,256.0,"{'00110': 137, '00000': 119}","{'00110': 137, '00000': 119}",False,,,,,
ideal,q1-q2,27,"X+,Z-->YY",1.0,256.0,"{'00110': 128, '00000': 128}","{'00110': 128, '00000': 128}",False,,,,,
ideal,q1-q2,28,"Y+,Z-->XY",-1.0,256.0,"{'00100': 137, '00010': 119}","{'00100': 137, '00010': 119}",False,,,,,
ideal,q1-q2,29,"Z-,Z-->ZZ",-1.0,256.0,{'00010': 256},{'00010': 256},False,,,,,
ideal,q1-q2,30,"Z-,Z+->IZ",-1.0,256.0,{'00110': 256},{'00110': 256},False,,,,,
ideal,q1-q2,31,"Z+,Z-->IZ",-1.0,256.0,{'00100': 256},{'00100': 256},False,,,,,
ideal,q1-q2,32,"Z+,Z-->ZZ",-1.0,256.0,{'00100': 256},{'00100': 256},False,,,,,
